date,close,open,high,low,volume,returns
2021/7/30,"3,560.74","3,561.59","3,568.62","3,532.51",38.12B,-0.42%
2021/7/29,"3,575.77","3,567.51","3,580.90","3,545.21",34.43B,1.49%
2021/7/28,"3,523.18","3,517.10","3,548.26","3,471.89",39.54B,-0.58%
2021/7/27,"3,543.69","3,634.17","3,651.39","3,542.73",46.87B,-2.49%
2021/7/26,"3,634.17","3,708.18","3,708.18","3,589.37",44.25B,-2.34%
2021/7/23,"3,721.18","3,743.55","3,743.69","3,711.86",44.62B,-0.68%
2021/7/22,"3,746.72","3,735.12","3,748.55","3,729.49",38.08B,0.34%
2021/7/21,"3,734.07","3,713.56","3,740.82","3,713.56",33.87B,0.73%
2021/7/20,"3,706.99","3,684.17","3,708.93","3,678.02",29.35B,-0.07%
2021/7/19,"3,709.40","3,700.25","3,715.44","3,674.95",33.64B,0.00%
2021/7/16,"3,709.49","3,730.71","3,737.50","3,707.84",36.56B,-0.71%
2021/7/15,"3,736.05","3,688.27","3,737.45","3,683.22",36.29B,1.02%
2021/7/14,"3,698.17","3,732.12","3,732.12","3,695.04",37.18B,-1.07%
2021/7/13,"3,738.09","3,718.25","3,739.10","3,713.25",36.19B,0.53%
2021/7/12,"3,718.52","3,715.79","3,736.56","3,697.08",40.32B,0.67%
2021/7/9,"3,693.64","3,681.21","3,699.13","3,652.70",34.96B,-0.04%
2021/7/8,"3,695.14","3,728.41","3,729.94","3,690.47",35.06B,-0.79%
2021/7/7,"3,724.73","3,677.33","3,729.11","3,673.03",31.85B,0.67%
2021/7/6,"3,700.12","3,703.16","3,708.59","3,665.15",31.36B,-0.12%
2021/7/5,"3,704.44","3,686.23","3,704.45","3,679.54",28.77B,0.44%
2021/7/2,"3,688.20","3,741.85","3,741.85","3,683.56",29.16B,-1.95%
2021/7/1,"3,761.68","3,774.02","3,781.52","3,746.08",29.16B,-0.07%
2021/6/30,"3,764.20","3,744.73","3,767.26","3,741.46",26.79B,0.50%
2021/6/29,"3,745.31","3,775.24","3,775.38","3,742.53",30.57B,-0.92%
2021/6/28,"3,780.16","3,786.32","3,788.55","3,767.41",32.09B,-0.03%
2021/6/25,"3,781.40","3,739.24","3,788.46","3,736.23",34.57B,1.15%
2021/6/24,"3,738.48","3,740.54","3,742.50","3,719.78",33.52B,0.01%
2021/6/23,"3,738.07","3,730.92","3,749.88","3,720.90",31.04B,0.25%
2021/6/22,"3,728.84","3,710.34","3,731.77","3,707.22",30.72B,0.80%
2021/6/21,"3,699.21","3,684.83","3,710.89","3,672.78",28.06B,0.12%
2021/6/18,"3,694.91","3,690.07","3,705.94","3,671.90",29.64B,-0.01%
2021/6/17,"3,695.43","3,677.29","3,704.46","3,676.30",27.70B,0.21%
2021/6/16,"3,687.76","3,728.03","3,732.62","3,682.75",31.24B,-1.08%
2021/6/15,"3,727.86","3,760.26","3,766.02","3,718.02",34.89B,-0.92%
2021/6/11,"3,762.65","3,788.21","3,788.51","3,759.92",36.03B,-0.59%
2021/6/10,"3,784.79","3,760.34","3,798.96","3,756.78",31.79B,0.54%
2021/6/9,"3,764.40","3,749.13","3,772.10","3,744.76",29.80B,0.32%
2021/6/8,"3,752.57","3,772.16","3,796.05","3,734.89",30.41B,-0.54%
2021/6/7,"3,773.00","3,770.49","3,773.88","3,754.48",30.34B,0.22%
2021/6/4,"3,764.90","3,737.17","3,793.16","3,733.42",33.04B,0.21%
2021/6/3,"3,756.84","3,768.69","3,792.81","3,756.83",35.36B,-0.36%
2021/6/2,"3,770.49","3,801.16","3,804.26","3,757.33",34.81B,-0.76%
2021/6/1,"3,799.47","3,782.57","3,800.90","3,754.57",35.25B,0.26%
2021/5/31,"3,789.79","3,773.65","3,789.98","3,753.27",33.11B,0.41%
2021/5/28,"3,774.39","3,784.88","3,796.84","3,755.06",34.87B,-0.22%
2021/5/27,"3,782.87","3,758.57","3,801.22","3,751.78",30.91B,0.43%
2021/5/26,"3,766.58","3,759.77","3,777.21","3,758.22",34.17B,0.34%
2021/5/25,"3,753.99","3,671.30","3,757.40","3,671.20",34.10B,2.41%
2021/5/24,"3,665.78","3,654.24","3,666.86","3,637.03",28.92B,0.31%
2021/5/21,"3,654.54","3,680.05","3,687.95","3,647.33",28.36B,-0.58%
2021/5/20,"3,675.96","3,669.55","3,687.29","3,654.04",32.57B,-0.11%
2021/5/19,"3,680.08","3,690.70","3,690.70","3,672.58",27.81B,-0.51%
